id,chapter,start,end,text
ts0001,1,9.87,12.39,O João é biólogo.
ts0002,1,12.93,16.32,A Antónia é reformada.
ts0003,1,16.98,20.85,O João é primo da Antónia.
ts0004,1,21.63,25.05,O João está em Portugal.
ts0005,1,25.62,29.16,Ele está nos Açores.
ts0006,1,30.45,34.23,Os Açores são em Portugal.
ts0007,1,35.37,39.6,Ele está em casa da Antónia.
ts0008,1,40.44,44.16,E ele está de férias.
ts0009,1,47.73,49.53,"Olá, João."
ts0010,1,50.04,51.87,"Olá, Antónia."
ts0011,1,52.56,54.27,"Oh, não!"
ts0012,1,54.51,57.99,O vinho tinto não está aqui.
ts0013,1,58.8,63.75,Eu sou distraída e estou cansada.
ts0014,1,64.26,67.02,Mas não há problema!
ts0015,1,67.2,70.17,Aqui está o vinho branco.
ts0016,2,3.87,8.82,O João está no terraço.
ts0017,2,8.82,12.96,Ele está feliz.
ts0018,2,13.65,16.86,Ele está a ver o mar.
ts0019,2,17.82,21.63,A prima Antónia está a cozinhar.
ts0020,2,23.04,25.44,O jantar está pronto!
ts0021,2,26.07,28.5,Tu estás com fome?
ts0022,2,29.55,33.39,"Sim, eu estou com fome."
ts0023,2,33.78,39,E tu és simpática.
ts0024,2,47.16,49.62,O João olha para o mar.
ts0025,2,50.31,53.4,Ele chama a Antónia.
ts0026,2,54.51,55.8,Antónia!
ts0027,2,56.7,57.72,Sim?
ts0028,2,58.5,59.64,Ali!
ts0029,2,60.06,62.28,Uma coisa no mar.
ts0030,2,62.85,64.17,Uma ilha?
ts0031,2,64.92,66.09,Ali?
ts0032,2,66.27,68.34,Não é possível.
ts0033,2,68.82,71.16,"Ali, ali!"
ts0034,2,72.09,73.35,Onde?
ts0035,2,73.41,76.02,Eu não vejo nada.
ts0036,2,77.22,80.41,Que estranho.
ts0037,2,80.41,90.87,Agora o João também não vê a coisa.
ts0038,3,4.47,6.84,A Marina é turista.
ts0039,3,7.02,10.47,Ela está no hotel em Faro.
ts0040,3,10.98,13.92,Boa noite.
ts0041,3,13.95,16.44,Eu tenho uma reserva.
ts0042,3,17.43,18.66,Boa noite.
ts0043,3,18.72,20.55,Qual é o nome?
ts0044,3,21.3,23.04,Marina Alva.
ts0045,3,24.24,26.22,"Um momento, por favor."
ts0046,3,26.82,29.97,Um quarto para duas pessoas?
ts0047,3,31.41,32.78,"Não, não."
ts0048,3,32.78,34.53,Para uma pessoa.
ts0049,3,35.64,38.16,"Ah, sim."
ts0050,3,39.06,40.77,Desculpe.
ts0051,3,41.49,43.2,Três noites?
ts0052,3,44.01,46.47,"Sim, correto."
ts0053,3,47.34,49.02,A senhora tem uma mala?
ts0054,3,49.68,51.12,"Sim, tenho."
ts0055,3,52.29,54.21,Aqui está.
ts0056,3,55.83,57,Muito obrigada.
ts0057,3,61.38,63.69,A Marina está no quarto.
ts0058,3,64.26,67.29,Está muito cansada.
ts0059,3,68.25,71.61,Ela quer tomar um duche.
ts0060,3,71.79,74.31,Ela quer abrir a mala.
ts0061,3,75.3,77.64,Ela quer roupa limpa.
ts0062,3,77.88,81.03,Ela abre a mala.
ts0063,3,81.27,83.28,Ela olha para o fecho da mala.
ts0064,3,83.82,84.93,Está partido.
ts0065,3,84.93,86.4,A Marina está confusa.
ts0066,4,9.45,10.68,Bom dia.
ts0067,4,10.98,15.45,Aqui está o barco. — diz o pescador.
ts0068,4,16.5,17.91,Bom dia.
ts0069,4,18.18,21.54,Muito obrigado! — diz o João.
ts0070,4,22.68,28.59,"O senhor vai ao mar? — pergunta o pescador, incrédulo."
ts0071,4,29.55,31.32,"Vou, vou."
ts0072,4,32.52,34.95,O senhor vai pescar?
ts0073,4,35.52,37.56,Aqui há peixes!
ts0074,4,39.06,43.11,"Uh, não, não vou pescar."
ts0075,4,44.46,47.16,"Vai passear, então?"
ts0076,4,48.48,51.6,Eu vou… a uma ilha.
ts0077,4,51.78,52.74,Ali.
ts0078,4,54.0,55.29,Ali?
ts0079,4,55.53,57.72,Ali não há nada.
ts0080,4,58.98,61.02,Tem a certeza?
ts0081,4,61.92,63.66,"Tenho, tenho."
ts0082,4,63.69,68.55,Ali só há mar.
ts0083,4,75.03,78.21,É aqui? — pergunta o guia.
ts0084,4,79.11,80.19,Sim.
ts0085,4,81.15,86.34,Aqui desaparecem muitos barcos de pescadores.
ts0086,4,87.54,91.29,Por isso vêm poucos barcos aqui.
ts0087,4,92.4,95.37,A água não é segura.
ts0088,4,96.48,99.06,O João olha para a água.
ts0089,4,99.45,102.24,Ele vê uma luz na água.
ts0090,4,102.93,104.91,"Olhe, ali!"
ts0091,4,105.57,108.15,O João estica o braço.
ts0092,4,108.39,111.12,Ele quer tocar na água.
ts0093,4,112.17,115.32,Cuidado! — diz o guia.
ts0094,4,115.35,118.44,É uma caravela-portuguesa.
ts0095,4,118.8,121.32,É muito venenosa.
ts0096,4,122.76,123.93,Eu sei.
ts0097,4,124.02,126.36,Eu sou biólogo.
ts0098,4,126.54,128.91,Vou mergulhar aqui.
ts0099,4,129.39,133.5,Eu quero ver o que está debaixo de água.
ts0100,4,134.79,135.87,Não!
ts0101,4,136.08,137.79,Está maluco?
ts0102,4,137.97,139.77,Não é só uma.
ts0103,4,139.77,144.03,São muitas caravelas-portuguesas.
ts0104,4,144.48,146.85,Olhe… Cuidado!
ts0105,4,147.63,152.67,O João mergulha.
ts0106,4,157.62,161.13,O João está dentro de água.
ts0107,4,161.67,169.35,Ele vê um peixe ao lado dele e uma alga em cima da água.
ts0108,4,170.58,175.56,Ele também vê uma luz dentro de água.
ts0109,4,176.1,179.67,Ele nada até à luz.
ts0110,4,180.51,187.38,"A luz é muito brilhante, mas está muito longe."
ts0111,4,188.46,193.71,"Ele quer ir para cima, mas não consegue ir."
ts0112,4,194.76,200.19,Há muitas caravelas-portuguesas na superfície.
ts0113,4,201.21,204.87,Mas ele precisa de ar.
ts0114,4,205.2,207.99,Precisa de respirar.
ts0115,4,208.98,215.46,Ele sente uma coisa na perna e depois perde os sentidos.
ts0116,5,3.63,7.65,A Marina está no restaurante.
ts0117,5,7.65,10.83,Boa noite.
ts0118,5,12.0,15.6,É uma mesa para uma pessoa?
ts0119,5,15.6,17.46,"Sim, por favor."
ts0120,5,18.18,22.41,Pode ficar aqui.
ts0121,5,23.52,25.86,"Queria o menu, por favor."
ts0122,5,26.85,28.11,Aqui tem.
ts0123,5,29.19,32.97,A Marina vê um homem desconhecido.
ts0124,5,33.39,37.26,Ele está a olhar para ela.
ts0125,5,38.13,42.18,A Marina fala com o empregado.
ts0126,5,43.38,44.8,Desculpe.
ts0127,5,44.8,47.61,Conhece o homem de barba?
ts0128,5,48.69,49.62,Eu?
ts0129,5,49.8,53.79,"Não, não conheço."
ts0130,5,53.79,57.6,"Então, queria pedir."
ts0131,5,58.59,60.93,Com certeza.
ts0132,5,62.28,65.55,O que recomenda?
ts0133,5,66.42,69.57,Os pratos são todos bons.
ts0134,5,70.47,74.73,Têm algum prato de carne?
ts0135,5,75.45,76.74,Não.
ts0136,5,76.74,81.0,Infelizmente não temos nenhum.
ts0137,5,81.21,87.57,"Então, para comer é uma sopa de legumes, e para beber é uma água."
ts0138,5,94.2,95.85,Aqui está.
ts0139,5,96.81,99.47,Uma sopa de legumes e uma água.
ts0140,5,99.47,101.58,Obrigada.
ts0141,5,102.63,106.5,A Marina come a sopa e bebe a água.
ts0142,5,107.91,110.49,O homem continua a olhar para ela.
ts0143,5,110.97,113.31,Desculpe!
ts0144,5,114.39,115.8,Sim?
ts0145,5,116.79,119.61,"Queria pagar, por favor."
ts0146,5,119.91,121.77,Com certeza.
ts0147,5,121.77,124.69,A Marina está distraída.
ts0148,5,124.69,130.14,"Rapidamente, o homem de barba rouba a mala da Marina."
ts0149,5,134.49,142.86,Um homem de fato no restaurante tenta apanhar o ladrão.
ts0150,5,143.58,148.11,O ladrão corre à frente do homem de fato.
ts0151,5,149.25,155.22,O homem de fato corre rapidamente atrás dele.
ts0152,5,156.99,166.02,"Um minuto, dois minutos, três minutos, quatro minutos, cinco minutos."
ts0153,5,166.71,170.91,"Finalmente, o homem de fato aparece."
ts0154,5,171.36,173.58,Ele está cansado.
ts0155,5,174.81,176.69,Peço desculpa.
ts0156,5,176.69,180.78,Mas o ladrão corre muito depressa.
ts0157,5,181.65,185.13,Oh não... — diz a Marina.
ts0158,5,185.13,191.22,O passaporte e o resto do dinheiro estão no hotel.
ts0159,5,191.85,195.33,Não tenho mais dinheiro aqui.
ts0160,5,196.77,201.9,Eu posso ajudar. — diz o homem de fato.
ts0161,5,202.14,204.69,Eu sou o Ricardo.
ts0162,5,205.14,207.12,E sou polícia.
ts0163,5,207.78,211.45,Muito prazer.
ts0164,5,211.45,214.8,Igualmente.
ts0165,5,217.39,219.87,É turista? — pergunta o Ricardo.
ts0166,5,220.83,224.1,Sim. — responde a Marina.
ts0167,5,225.39,229.02,Há quanto tempo está em Portugal?
ts0168,5,229.98,233.91,Estou em Portugal há um dia.
ts0169,5,234.6,236.97,Só há um dia?
ts0170,5,237.45,241.41,"Então, ainda não conhece nada."
ts0171,5,242.49,244.47,É verdade.
ts0172,5,245.16,252.18,Eu posso mostrar as atrações amanhã. — oferece ele.
ts0173,5,252.45,258.15,"Obrigada, mas eu tenho um encontro amanhã."
ts0174,5,259.35,262.9,Compreendo.
ts0175,5,262.9,267.22,O encontro é na ponta de Sagres.
ts0176,5,267.22,273.13,Se calhar podemos dar um passeio depois. — diz a Marina.
ts0177,5,273.13,275.25,Adoraria.
ts0178,6,7.82,11.37,A Antónia está na polícia.
ts0179,6,12.6,17.13,Qual é o nome? — pergunta o polícia.
ts0180,6,18.18,19.44,João.
ts0181,6,20.37,22.8,Onde é que ele está?
ts0182,6,23.91,25.27,Não sei.
ts0183,6,25.27,28.17,Ele está desaparecido.
ts0184,6,29.04,34.23,"Então, tem de preencher o formulário."
ts0185,6,35.4,36.72,Está bem.
ts0186,6,36.72,39.81,Mas isto é urgente.
ts0187,6,39.87,45,Estou preocupada.
ts0188,6,50.37,55.0,O João acorda num lugar estranho.
ts0189,6,55.0,57.57,Onde é que eu estou?
ts0190,6,59.01,63.26,Ele está numa sala moderna.
ts0191,6,63.26,69.14,"A sala tem estantes com livros, mas não tem janelas."
ts0192,6,69.14,73.89,O João procura uma porta.
ts0193,6,73.89,78.44,"Ele encontra a porta, mas está fechada."
ts0194,6,78.44,81.81,Ele bate na porta.
ts0195,6,82.11,83.16,Hei!
ts0196,6,83.73,86.01,Está aí alguém?
ts0197,6,86.13,88.53,Eu quero sair!
ts0198,6,89.19,92.0,O João não ouve nada.
ts0199,6,92.0,94.71,Ninguém abre a porta.
ts0200,7,4.29,7.89,O Ricardo vai levar a Marina a Sagres.
ts0201,7,7.89,13.3,Ele tem um descapotável grande e vermelho.
ts0202,7,13.3,15.54,"Bom dia, Marina."
ts0203,7,16.56,18.6,Pronta?
ts0204,7,19.11,22.59,"Bom dia, Ricardo."
ts0205,7,22.68,24.99,"Sim, estou pronta."
ts0206,7,25.5,26.79,Ah!
ts0207,7,27.0,29.64,O dia está ótimo!
ts0208,7,30.18,32.76,"Sim, está bom."
ts0209,7,33.18,36.6,Está calor e não está vento.
ts0210,7,37.23,40.56,E estão vinte graus.
ts0211,7,40.83,42.57,Parece verão.
ts0212,7,43.26,45.24,E é primavera.
ts0213,7,45.78,49.68,O tempo está bom para ir à praia.
ts0214,7,50.64,51.81,Pois.
ts0215,7,51.81,55.44,Mas eu não gosto de nadar.
ts0216,7,55.8,58.8,Eu não gosto do mar.
ts0217,7,59.67,60.9,Não?
ts0218,7,61.17,63.72,Impossível!
ts0219,7,63.72,67.41,Eu adoro nadar.
ts0220,7,67.41,70.23,"Na verdade, não sei nadar."
ts0221,7,70.23,75.48,Tenho medo da água.
ts0222,7,81.38,85.72,Eles chegam à ponta de Sagres.
ts0223,7,85.72,89.61,A Marina tem um encontro com o faroleiro.
ts0224,7,91.08,96.42,Conheces o faroleiro? — pergunta o Ricardo.
ts0225,7,97.32,98.41,Sim.
ts0226,7,98.41,102.99,Ele é um velho amigo da família.
ts0227,7,103.5,105.56,Esperas aqui?
ts0228,7,105.56,108.57,"Sim, fico aqui."
ts0229,7,108.99,114.18,Eu gosto de ver o mar. — responde ele.
ts0230,7,114.72,116.37,Até já.
ts0231,7,117.06,125.34,"O Ricardo observa o mar, mas também observa a Marina."
ts0232,7,125.34,133,Ela abraça o faroleiro e os dois falam.
ts0233,7,136.62,138.66,Há quanto tempo!
ts0234,7,138.96,142.11,"Como estás, Marina? — pergunta o faroleiro José."
ts0235,7,143.04,145.23,"Bem, obrigada."
ts0236,7,145.23,146.43,E tu?
ts0237,7,146.97,150.45,"Estou velho, mas estou bem!"
